sfmnpv 1 741	polh
sfmnpv 806 2194	orf1629
sfmnpv 2193 3029	pk-1
sfmnpv 3086 4501	hoar
sfmnpv 4557 4727	sf5
sfmnpv 4727 4900	sf6
sfmnpv 4837 5124	sf7
sfmnpv 5135 6589	sf8
sfmnpv 6773 7888	pif-5
sfmnpv 8082 9173	me53
sfmnpv 11019 11177	sf11
sfmnpv 11176 13284	efp
sfmnpv 13403 13693	gp16
sfmnpv 13710 14423	p24
sfmnpv 14471 14806	sf15
sfmnpv 14763 15404	lef-2
sfmnpv 15450 16601	38.7k
sfmnpv 16605 17324	lef-1
sfmnpv 17315 17734	sf19
sfmnpv 17715 18734	v-cath
sfmnpv 18852 19907	lef-7
sfmnpv 19937 21631	chiA
sfmnpv 21888 22553	sf23
sfmnpv 22664 23446	gp37
sfmnpv 23443 23946	ptp-2
sfmnpv 24042 25619	egt
sfmnpv 25806 26330	sf27
sfmnpv 26337 26984	sf28
sfmnpv 27004 29643	sf29
sfmnpv 29754 30308	sf30
sfmnpv 30387 30914	pkip-1
sfmnpv 30946 31464	sf32
sfmnpv 31427 32323	arif-1
sfmnpv 32220 33416	pif-2
sfmnpv 33434 35023	pif-1
sfmnpv 35031 35288	sf36
sfmnpv 35285 36427	fgf
sfmnpv 36670 37386	sf38
sfmnpv 37428 38645	alk-exo
sfmnpv 39182 39520	sf40
sfmnpv 39519 40673	sf41
sfmnpv 40688 41059	sf42
sfmnpv 41123 42310	sf43
sfmnpv 42518 43309	sf44
sfmnpv 43324 44322	pep
sfmnpv 44410 44718	sf46
sfmnpv 44648 44956	sf47
sfmnpv 45017 45478	sod
sfmnpv 45547 46176	pif-3
sfmnpv 46178 46609	sf50
sfmnpv 46591 48144	sf51
sfmnpv 48167 48820	sf52
sfmnpv 48857 49963	sf53
sfmnpv 50507 50941	dutpase
sfmnpv 51007 51627	sf55
sfmnpv 51694 52527	p13
sfmnpv 52587 54677	odv-e66
sfmnpv 54670 55014	sf58
sfmnpv 55043 56113	odv-ec43
sfmnpv 56097 56276	pif-7
sfmnpv 56273 57988	vp80
sfmnpv 58030 59160	p45
sfmnpv 59135 59440	p12
sfmnpv 59463 60614	p40
sfmnpv 60685 60906	p6.9
sfmnpv 60903 61733	lef-5
sfmnpv 61632 62534	38k
sfmnpv 62546 63001	sf68
sfmnpv 62998 64002	bro
sfmnpv 64062 64490	sf70
sfmnpv 64554 65060	pif-4
sfmnpv 65032 68718	dnahel
sfmnpv 68796 69446	odv-e25
sfmnpv 69443 69922	p18
sfmnpv 69924 70682	p33
sfmnpv 70726 72105	lef-4
sfmnpv 72104 73090	vp39
sfmnpv 73303 74679	cg30
sfmnpv 74763 77207	pif-8
sfmnpv 77176 77766	tlp20
sfmnpv 77573 78307	ac81-like
sfmnpv 78273 79271	gp41
sfmnpv 79296 79643	ac78-like
sfmnpv 79645 80748	vlf-1
sfmnpv 81189 81356	sf85
sfmnpv 81470 82228	p26a
sfmnpv 82276 83139	iap-0
sfmnpv 83042 83842	mtase-1
sfmnpv 83835 84209	pif-6
sfmnpv 84208 85374	lef-3
sfmnpv 85436 87574	desmoplakin
sfmnpv 87576 90695	dnapol
sfmnpv 90731 91117	sf93
sfmnpv 91144 91401	sf94
sfmnpv 91494 91865	sf95
sfmnpv 91840 92340	sf96
sfmnpv 92393 93889	lef-9
sfmnpv 93948 94535	fp25k
sfmnpv 94726 96849	94k
sfmnpv 96933 97205	sf100
sfmnpv 97222 97800	sf101
sfmnpv 97793 98278	sf102
sfmnpv 98513 98890	sf103
sfmnpv 98781 99125	sf104
sfmnpv 99088 100098	vp1054
sfmnpv 99959 100186	lef-10
sfmnpv 100170 100373	sf107
sfmnpv 100391 101290	sf108
sfmnpv 101295 101708	ac53-like
sfmnpv 101764 102303	sf110
sfmnpv 102451 102804	sf110a
sfmnpv 103206 104066	iap-3
sfmnpv 104114 105307	bjdp
sfmnpv 105328 107973	lef-8
sfmnpv 108057 108236	sf114
sfmnpv 108239 110368	odv-e66b
sfmnpv 110398 111597	p47
sfmnpv 111680 112306	sf117
sfmnpv 112354 112905	sf118
sfmnpv 112974 113708	adprase
sfmnpv 113603 114004	lef-11
sfmnpv 113976 114905	39k
sfmnpv 114934 115272	sf122
sfmnpv 115330 115533	sf123
sfmnpv 115527 115769	v-ubi
sfmnpv 115812 116348	sf125
sfmnpv 116760 117161	sf126
sfmnpv 117255 118247	dbp
sfmnpv 118264 118731	lef-6
sfmnpv 118764 119048	sf130
sfmnpv 118875 119051	sf129
sfmnpv 119122 119961	p26b
sfmnpv 119948 120265	p10
sfmnpv 120342 121232	sf133
sfmnpv 121251 123191	pif-0
sfmnpv 123244 123564	sf135
sfmnpv 123614 125662	ie-1
sfmnpv 125692 126336	sf137
sfmnpv 126373 126651	sf138
sfmnpv 126655 127506	odv-ec27
sfmnpv 127531 127776	odv-e18
sfmnpv 127782 129164	p49
sfmnpv 129179 129889	ie-0
sfmnpv 129976 132492	rr-1
